"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Markdown", "MS SQL", "JavaScript", "comment", "blank", "total"
"c:\MAMP\htdocs\workmate_server\workmate-server\001_security.sql", "MS SQL", 0, 0, 0, 0, 20, 0, 15, 6, 41
"c:\MAMP\htdocs\workmate_server\workmate-server\README.md", "Markdown", 0, 0, 0, 27, 0, 0, 0, 11, 38
"c:\MAMP\htdocs\workmate_server\workmate-server\generateKeys.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 4, 15
"c:\MAMP\htdocs\workmate_server\workmate-server\package-lock.json", "JSON", 0, 1933, 0, 0, 0, 0, 0, 1, 1934
"c:\MAMP\htdocs\workmate_server\workmate-server\package.json", "JSON", 0, 31, 0, 0, 0, 0, 0, 1, 32
"c:\MAMP\htdocs\workmate_server\workmate-server\scripts\generateBatch.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\MAMP\htdocs\workmate_server\workmate-server\security_docs.js", "JavaScript", 0, 0, 0, 0, 0, 170, 0, 66, 236
"c:\MAMP\htdocs\workmate_server\workmate-server\server\env.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 1, 3, 15
"c:\MAMP\htdocs\workmate_server\workmate-server\src\db\grants.sql", "MS SQL", 0, 0, 0, 0, 8, 0, 3, 3, 14
"c:\MAMP\htdocs\workmate_server\workmate-server\src\db\migrations\001_security.sql", "MS SQL", 0, 0, 0, 0, 8, 0, 8, 4, 20
"c:\MAMP\htdocs\workmate_server\workmate-server\src\db\migrations\002_email_retry.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 5, 1, 6
"c:\MAMP\htdocs\workmate_server\workmate-server\src\db\migrations\003_simplify_serials.sql", "MS SQL", 0, 0, 0, 0, 2, 0, 4, 2, 8
"c:\MAMP\htdocs\workmate_server\workmate-server\src\db\pool.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 2, 4, 17
"c:\MAMP\htdocs\workmate_server\workmate-server\src\db\schema.sql", "MS SQL", 0, 0, 0, 0, 12, 0, 21, 8, 41
"c:\MAMP\htdocs\workmate_server\workmate-server\src\index.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 7, 8, 50
"c:\MAMP\htdocs\workmate_server\workmate-server\src\middleware\idempotency.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 11, 5, 56
"c:\MAMP\htdocs\workmate_server\workmate-server\src\middleware\rateLimit.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 4, 3, 22
"c:\MAMP\htdocs\workmate_server\workmate-server\src\middleware\validate.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 1, 8, 27
"c:\MAMP\htdocs\workmate_server\workmate-server\src\routes\activate.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 12, 17, 89
"c:\MAMP\htdocs\workmate_server\workmate-server\src\routes\paypal.ts", "TypeScript", 112, 0, 0, 0, 0, 0, 4, 16, 132
"c:\MAMP\htdocs\workmate_server\workmate-server\src\routes\purchase.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 2, 14
"c:\MAMP\htdocs\workmate_server\workmate-server\src\utils\License.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 93, 15, 108
"c:\MAMP\htdocs\workmate_server\workmate-server\src\utils\mailer.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 6, 3, 22
"c:\MAMP\htdocs\workmate_server\workmate-server\src\utils\serial.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 10, 16, 117
"c:\MAMP\htdocs\workmate_server\workmate-server\src\utils\sign.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 3, 3, 22
"c:\MAMP\htdocs\workmate_server\workmate-server\src\workers\emailRetry.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 5, 9, 44
"c:\MAMP\htdocs\workmate_server\workmate-server\tsconfig.json", "JSON with Comments", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\MAMP\htdocs\workmate_server\workmate-server\updated_index.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 1, 9, 44
"c:\MAMP\htdocs\workmate_server\workmate-server\vite.config.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 5
"Total", "-", 508, 1964, 10, 27, 50, 181, 228, 232, 3200
